Dataset,StratificationType,Fold_Seed,Fold,Property,EMD,KS_Stat
Cora,LabelStratifiedKFold,6,4,Eigenvector Centrality,0.000989769662131,0.0283951765134384
Cora,LabelStratifiedKFold,6,4,Clustering Coefficient,0.0121162734858993,0.033075531391303
Cora,LabelStratifiedKFold,6,5,Degree,0.32552989857099,0.0107101395747163
Cora,LabelStratifiedKFold,6,5,Neighborhood Heterogeneity,0.0278104243271328,0.0682605064882667
Cora,LabelStratifiedKFold,6,5,PageRank,2.6528044481849645e-05,0.0352242126264664
Cora,LabelStratifiedKFold,6,5,Eigenvector Centrality,0.0017174082824243,0.0381132889835518
Cora,LabelStratifiedKFold,6,5,Clustering Coefficient,0.0073746705532571,0.0192212715177332
Cora,LabelStratifiedKFold,7,1,Degree,0.2078618570119209,0.0105198420405256
Cora,LabelStratifiedKFold,7,1,Neighborhood Heterogeneity,0.0081977027062973,0.0200072914856572
Cora,LabelStratifiedKFold,7,1,PageRank,1.3746575041102694e-05,0.0194076178988936
Cora,LabelStratifiedKFold,7,1,Eigenvector Centrality,0.0006530121576267,0.0429584351245174
Cora,LabelStratifiedKFold,7,1,Clustering Coefficient,0.015900832222286,0.0241419727216662
Cora,LabelStratifiedKFold,7,2,Degree,0.1995311642867114,0.0131553393096257
Cora,LabelStratifiedKFold,7,2,Neighborhood Heterogeneity,0.0122257696913397,0.0307247532309118
Cora,LabelStratifiedKFold,7,2,PageRank,1.941998039185742e-05,0.0314743452143662
Cora,LabelStratifiedKFold,7,2,Eigenvector Centrality,0.0008672704591361,0.0474730232066863
Cora,LabelStratifiedKFold,7,2,Clustering Coefficient,0.0062605107051647,0.0258438872477367
Cora,LabelStratifiedKFold,7,3,Degree,0.3672387416394906,0.0214451451993744
Cora,LabelStratifiedKFold,7,3,Neighborhood Heterogeneity,0.0328946759653736,0.0449210032266527
Cora,LabelStratifiedKFold,7,3,PageRank,2.668865834304044e-05,0.0380043135611411
Cora,LabelStratifiedKFold,7,3,Eigenvector Centrality,0.0012321619192965,0.03001264084663
Cora,LabelStratifiedKFold,7,3,Clustering Coefficient,0.0221772708495557,0.0347367739605373
Cora,LabelStratifiedKFold,7,4,Degree,0.3168396387758921,0.0222596210848835
Cora,LabelStratifiedKFold,7,4,Neighborhood Heterogeneity,0.0052397285717829,0.0187401852864382
Cora,LabelStratifiedKFold,7,4,PageRank,2.5461905510680163e-05,0.0542134709262701
Cora,LabelStratifiedKFold,7,4,Eigenvector Centrality,0.0005773862822974,0.0341323857185628
Cora,LabelStratifiedKFold,7,4,Clustering Coefficient,0.0059197118109319,0.0140530064903991
Cora,LabelStratifiedKFold,7,5,Degree,0.2298926853568107,0.0239383049557852
