Dataset,StratificationMethod,StratSeed,DegreeEmd,NeighHetEmd,PageRankEmd,EigCentralityEmd,ClusteringEmd
chameleon,WDES_PageRank,2,2.070504696168313,0.0140237535988663,1.851510588484473e-05,0.0008493329537692,0.0127866376464843
chameleon,WDES_EigCentrality,2,2.9679727683961064,0.01080220956942,4.685056575612249e-05,0.0002863188443319,0.0100688848537191
chameleon,WDES_Clustering,2,2.2964784795677224,0.0086150708402029,3.8623965704436346e-05,0.0006343321586238,0.0042824036437847
chameleon,WDES_Degree,3,1.051584753918852,0.0110656021883192,2.6797382909344116e-05,0.0004657604606764,0.0138856163385829
chameleon,WDES_NeighHet,3,2.7363727957778288,0.0036193443372369,3.9709333213971134e-05,0.0012387149559777,0.0165439057455637
chameleon,WDES_PageRank,3,1.7285244605381922,0.008410993598467,1.795640462078785e-05,0.0008994505633081,0.0132622483470003
chameleon,WDES_EigCentrality,3,3.2637581195819196,0.00895837233657,6.155972171720553e-05,0.0001941896221436,0.0112254530720798
chameleon,WDES_Clustering,3,2.5133228289635605,0.0067780310342467,4.482847722806387e-05,0.0008412071210274,0.0042462677033352
chameleon,WDES_Degree,4,0.9409914697557747,0.0168908698769244,2.905637561259985e-05,0.0005074920968403,0.0108307186150621
chameleon,WDES_NeighHet,4,2.673899654883637,0.0035470035782471,3.744998685311464e-05,0.0007355831786973,0.011889624358125
chameleon,WDES_PageRank,4,1.5165434628935823,0.0104731523031297,1.8646293268095403e-05,0.0005615775207743,0.0125988631045838
chameleon,WDES_EigCentrality,4,2.0418470837578395,0.010872260388417,3.418247243306114e-05,0.0001982891932906,0.0140201651090434
chameleon,WDES_Clustering,4,2.460268156709807,0.0079025953329105,3.095197661015635e-05,0.0010888444318988,0.0036738645704343
Actor,WDES_Degree,0,0.3609999999999602,0.005510208015183,7.68641084092332e-06,0.0002969728418516,0.0039881110022105
Actor,WDES_NeighHet,0,0.4878421052631183,0.0013819731157273,9.123924573710496e-06,0.0003071217176413,0.0034805311194162
Actor,WDES_PageRank,0,0.3751052631578557,0.0064039601789493,7.169085977134105e-06,0.0002286304619764,0.002877897981399
Actor,WDES_EigCentrality,0,0.4689473684210126,0.0067710013926813,9.00576834210228e-06,0.000181297257743,0.0063371592500666
Actor,WDES_Clustering,0,0.4241578947368025,0.007414453114824,8.234186469306358e-06,0.000286844270964,0.001114416080479
Actor,WDES_Degree,1,0.350105263157855,0.0077412498112964,7.65471276507524e-06,0.0003884966511289,0.0031805982111585
Actor,WDES_NeighHet,1,0.5374210526315399,0.0012911563214698,9.549562332105862e-06,0.0002549425785406,0.0049698973116511
Actor,WDES_PageRank,1,0.3795263157894339,0.0051357645416926,7.1460120780849115e-06,0.0002958291022443,0.0043357203445095
Actor,WDES_EigCentrality,1,0.5594736842104866,0.0050433270107758,1.0174650467138077e-05,0.0001875365680572,0.0036907519084746
Actor,WDES_Clustering,1,0.538368421052592,0.0057850036570116,9.698906193860855e-06,0.0002604371188241,0.0008574191811232
Actor,WDES_Degree,2,0.3685789473683808,0.0057599671286971,7.847190879462572e-06,0.0002404497056325,0.0035789629398348
Actor,WDES_NeighHet,2,0.4903684210525919,0.0017105898768886,9.01175665842029e-06,0.0003418550055931,0.0041020688563523
Actor,WDES_PageRank,2,0.3828947368420656,0.0052576292895368,7.145522750618206e-06,0.0002810729807888,0.0045723879782307
Actor,WDES_EigCentrality,2,0.580684210526276,0.006857481203385,1.0759355813617248e-05,0.0001880193766526,0.0029249747123726
Actor,WDES_Clustering,2,0.4585789473683814,0.0058936177029421,8.713007206447156e-06,0.0002949753518011,0.0009260891187103
Actor,WDES_Degree,3,0.3464736842104871,0.0077357179018619,7.180167421430104e-06,0.0002521408866853,0.0044326535305643
Actor,WDES_NeighHet,3,0.5197894736841706,0.0014530813066582,9.718683981783478e-06,0.000226892996185,0.0026989289096561
Actor,WDES_PageRank,3,0.3873684210525923,0.0048195899781819,7.0829360073837375e-06,0.0002484153326015,0.0036331346349002
Actor,WDES_EigCentrality,3,0.4499999999999606,0.0059507373397875,8.722277414971238e-06,0.0001793410551588,0.0045528539045083
Actor,WDES_Clustering,3,0.5392105263157492,0.0076121167866022,9.893667722394209e-06,0.0003440723846723,0.0010723064722928
Actor,WDES_Degree,4,0.3493157894736444,0.004286388822292,7.534560435545313e-06,0.0002996132549954,0.0044797465025534
Actor,WDES_NeighHet,4,0.4978947368420656,0.0017133827872182,9.196609351603972e-06,0.0003649426082264,0.0068444502065528
Actor,WDES_PageRank,4,0.3917368421052239,0.0087708697017086,7.0435596379952245e-06,0.0003455457479728,0.0049074191708947
Actor,WDES_EigCentrality,4,0.5120526315789075,0.0051080218992735,9.45661032495853e-06,0.0001750901498153,0.0046678063087364
Actor,WDES_Clustering,4,0.5672631578946971,0.0058881479766415,1.0270310843332089e-05,0.0003431504103419,0.0008890643609341
Texas,WDES_Degree,0,0.9128612218776144,0.035343237607983,0.0015623234972087,0.0120486611712294,0.0316297619787116
Texas,WDES_NeighHet,0,1.0890808841628503,0.0102006330991893,0.0017027809382407,0.0101486201286775,0.0357272172515296
